NAME,CUISINE,PRICE_RANGE,NEIGHBORHOOD,WHEN,NOTES
Tavern29,Bar,,Kips Bay,11am-7pm,"$7 cocktail, $7 beer / wine"
Factory 380,Bar,,Kips Bay,"Monday all day, T-Friday 4pm-8pm, Sunday 4-close","$10 pizza, nuggets, nachos; $8 wines, marg, select cocktails"
The Chick Inn,Restaurant ,,Kips Bay,Thursday night,$10 espresso martinis
Mason Jar,BBQ,,Kips Bay,"TUES - $3 tacos, $5 margs; WED BOGO cheeseburger","$3 tacos, $5 margs"
Vida Verde,Mexcian,,Midtown,From 11pm-1am,"$10 cocktail, $5 beer/shots, $5 high noons"
Stag's Head,Bar,,Midtown East,M-F 11am-7pm,"7pm - $7 bites, $6 beer, $7 well, $8 wine"
Sinigual,Mexican,,Midtown East,"M-Sunday till 7pm, Sunday all day","$8 margs, $6 beer, $7 well drinks"
Peter Dillon's Pub,Pub,,Midtown East,M-F 5pm-7pm,"$4 shots, $6 beer"
The Flying Cock ,American,,Midtown East ,M-F 3pm-6pm,"$2 off cocktails, beer, wine"
The Horny Ram,American,,Midtown East,M-F 4pm-6pm,"$4 food, $10 cocktails, $6 beer"
Taco Vision,Mexican ,,Midtown East,"EVERYDAY 5pm-7pm, taco tuesdays, tequila thurs - DJ","$9 margs, $6 wine, $6 for 2 tacos, "
Snafu,Bar,,Midtown East,EVERYDAY till 2am,"$9 wine, $7 shots, "
Draught 55 ,Bar,,Midtown East,M-F 4pm-8pm,"$6 beer, wine and well"
Gyu Kaku,Bar,,Midtown East ,Not sure ,"$7 cocktail, $3 beer"
Clinton Hall ,Bar ,,"Midtown, BPC, Bronx, Williamsburg",EVERYDAY 3pm-6pm,"$6 cider, $7 well & wine, $8 bites"
Valerie ,Bar,,Midtown,M-F 4pm-7pm,$11 cocktails
Printers Alley,Bar,,Midtown,EVERYDAY till 7pm,"$8 marg, $9 old fashion - no food specials "
The Junction,Bar,,Murray Hill,"EVERYDAY 11am-7pm, Sundays till 10pm","$5 beer, $8 wines, $8 well "
El Rio Grande,Mexican,,Murray Hill,"M,T,W,Saturday 12pm-7pm only at bar","$9 beer, $6 beer, $8 sangria, $10-12 food specials"
Cask NYC,American,,Murray Hill,M-F 4pm-7pm,"$10 cocktail, $7 beer, $8 wine"
Dos Caminos,Mexican,,Times Square,M-F 3pm-6pm,"$6 beers, $7 sangria, $8 marg, $8 food"
Friki Tick,,,Hell's Kitchen,T-Sat 5pm-8pm,"$10 frozen, $9 wine"
Mickey Spillane's ,American,,Hell's Kitchen,ALL DAY EVERYDAY?,$4 Drinks/Shots/Beers & $5 Frozen Margs
E's Bar,,,UWS,EVERYDAY till 7pm,"$6.5 well drink, $9.5 beer and shot, $6.5 burger, $4.5 fries"
